,Synonym_1,Synonym_2,Weird_Category,Synonym_3,Synonym_4,Pos_Tags,Pos_And_Words
187,absorptionslinje..1,absorption..1,ljus..1,absorptionslinje..nn.1,absorptionslinje,nn,nn_4u_linje
188,abstinens..1,alkoholism..1,PRIM..1,abstinens..nn.1,abstinens,nn,nn_0u_månsing
189,abstinensbesvär..1,besvär..1,abstinens..1,abstinensbesvär..nn.1,abstinensbesvär,nn,nn_np_ordalag
190,abstinenssyndrom..1,abstinens..1,PRIM..1,abstinenssyndrom..nn.1,abstinenssyndrom,nn,nn_0n_latin
191,abstrahera..1,abstrakt..1,PRIM..1,abstrahera..vb.1,abstrahera,vb,vb_1a_beundra
192,abstraherande..1,abstrahera..1,PRIM..1,abstraherande..nn.1,abstraherande,nn,nn_5n_saldo
193,abstraherbar..1,abstrahera..1,möjlig..1,abstraherbar..av.1,abstraherbar,av,av_1_gul
194,abstraherbarhet..1,abstraherbar..1,PRIM..1,abstraherbarhet..nn.1,abstraherbarhet,nn,nn_0u_boskap
195,abstrahering..1,abstrahera..1,PRIM..1,abstrahering..nn.1,abstrahering,nn,nn_2u_mening
196,abstrakt..1,konkret..1,motsats..1,abstrakt..av.1,abstrakt,av,av_1_akut
197,abstrakt..2,substantiv..1,abstrakt..1,abstrakt..nn.1,abstrakt,nn,nn_3n_gift
198,abstrakthet..1,abstrakt..1,PRIM..1,abstrakthet..nn.1,abstrakthet,nn,nn_0u_boskap
199,abstraktion..1,abstrakt..1,PRIM..1,abstraktion..nn.1,abstraktion,nn,nn_3u_salong
200,abstraktionsförmåga..1,förmåga..1,abstrahera..1,abstraktionsförmåga..nn.1,abstraktionsförmåga,nn,nn_0u_tjockolja
201,abstraktändelse..1,ändelse..1,abstrakt..2,abstraktändelse..nn.1,abstraktändelse,nn,nn_4u_linje
202,abstrus..1,oklar..1,PRIM..1,abstrus..av.1,abstrus,av,av_1_gul
203,absurd..1,orimlig..1,PRIM..1,absurd..av.1,absurd,av,av_1_rund
204,absurdhet..1,absurd..1,PRIM..1,absurdhet..nn.1,absurdhet,nn,nn_0u_boskap
205,absurdism..1,konstriktning..1,absurd..1,absurdism..nn.1,absurdism,nn,nn_3u_karbid
206,absurdistisk..1,absurdism..1,PRIM..1,absurdistisk..av.1,absurdistisk,av,av_0_medelstor
207,absurditet..1,absurd..1,PRIM..1,absurditet..nn.1,absurditet,nn,nn_3u_salong
208,abundans..1,abundant..1,PRIM..1,abundans..nn.1,abundans,nn,nn_0u_månsing
209,abundant..1,överflöda..1,PRIM..1,abundant..av.1,abundant,av,av_1_akut
210,abyssal..1,djup..2,hav..1,abyssal..av.1,abyssal,av,av_1_gul
